Frequency (Hz)	|	Gain (dB)
244.000000	|	-20.617655
245.000000	|	-20.620649
246.000000	|	-20.626638
247.000000	|	-20.629632
248.000000	|	-20.729301
249.000000	|	-20.749184
250.000000	|	-20.765571
251.000000	|	-20.781958
252.000000	|	-20.824679
253.000000	|	-20.867399
254.000000	|	-20.909990
255.000000	|	-20.924035
256.000000	|	-20.927432
257.000000	|	-20.930829
258.000000	|	-20.982852
259.000000	|	-21.034876
260.000000	|	-21.142026
261.000000	|	-21.161534
262.000000	|	-21.200551
263.000000	|	-21.209696
264.000000	|	-21.213052
265.000000	|	-21.214122
266.000000	|	-21.215191
267.000000	|	-21.334196
268.000000	|	-21.357264
269.000000	|	-21.403402
270.000000	|	-21.426470
271.000000	|	-21.436527
272.000000	|	-21.456642
273.000000	|	-21.466699
274.000000	|	-21.548230
275.000000	|	-21.550646
276.000000	|	-21.551287
277.000000	|	-21.552568
278.000000	|	-21.553209
279.000000	|	-21.786000
280.000000	|	-21.787748
281.000000	|	-21.791246
282.000000	|	-21.792994
283.000000	|	-21.819266
284.000000	|	-21.835702
285.000000	|	-21.852139
286.000000	|	-21.925060
287.000000	|	-21.955016
288.000000	|	-21.984971
289.000000	|	-21.991583
290.000000	|	-22.004807
291.000000	|	-22.011419
292.000000	|	-22.036003
293.000000	|	-22.085170
294.000000	|	-22.090250
295.000000	|	-22.100411
296.000000	|	-22.105491
297.000000	|	-22.229759
298.000000	|	-22.246732
299.000000	|	-22.258823
300.000000	|	-22.270913
301.000000	|	-22.322319
302.000000	|	-22.373724
303.000000	|	-22.406068
304.000000	|	-22.438412
305.000000	|	-22.478234
306.000000	|	-22.518056
307.000000	|	-22.599824
308.000000	|	-22.626475
309.000000	|	-22.647888
310.000000	|	-22.648121
311.000000	|	-22.648354
312.000000	|	-22.696894
313.000000	|	-22.726421
314.000000	|	-22.755948
315.000000	|	-22.761100
316.000000	|	-22.766253
317.000000	|	-22.788000
318.000000	|	-22.809748
319.000000	|	-22.871037
320.000000	|	-22.878302
321.000000	|	-22.892833
322.000000	|	-22.900098
323.000000	|	-22.936689
324.000000	|	-23.014843
325.000000	|	-23.047954
326.000000	|	-23.048442
327.000000	|	-23.048929
328.000000	|	-23.088999
329.000000	|	-23.129069
330.000000	|	-23.219268
331.000000	|	-23.227733
332.000000	|	-23.244662
333.000000	|	-23.253127
334.000000	|	-23.254489
335.000000	|	-23.257214
336.000000	|	-23.258576
337.000000	|	-23.282910
338.000000	|	-23.331579
339.000000	|	-23.355913
340.000000	|	-23.402120
341.000000	|	-23.448326
342.000000	|	-23.458203
343.000000	|	-23.479209
344.000000	|	-23.506195
345.000000	|	-23.573647
346.000000	|	-23.581936
347.000000	|	-23.590224
348.000000	|	-23.640094
349.000000	|	-23.646830
350.000000	|	-23.660303
351.000000	|	-23.667039
352.000000	|	-23.689801
353.000000	|	-23.696492
354.000000	|	-23.709873
355.000000	|	-23.716564
356.000000	|	-23.737772
357.000000	|	-23.780187
358.000000	|	-23.801395
359.000000	|	-23.859963
360.000000	|	-23.918531
361.000000	|	-23.926672
362.000000	|	-23.942955
363.000000	|	-23.951096
364.000000	|	-23.972387
365.000000	|	-24.014969
366.000000	|	-24.036260
367.000000	|	-24.182348
368.000000	|	-24.191917
369.000000	|	-24.194869
370.000000	|	-24.197820
371.000000	|	-24.232808
372.000000	|	-24.248457
373.000000	|	-24.255358
374.000000	|	-24.262259
375.000000	|	-24.264557
376.000000	|	-24.266854
377.000000	|	-24.294445
378.000000	|	-24.308240
379.000000	|	-24.316226
380.000000	|	-24.332197
381.000000	|	-24.340183
382.000000	|	-24.359137
383.000000	|	-24.397045
384.000000	|	-24.398301
385.000000	|	-24.400812
386.000000	|	-24.402068
387.000000	|	-24.446632
388.000000	|	-24.491196
389.000000	|	-24.552084
390.000000	|	-24.612973
391.000000	|	-24.721231
392.000000	|	-24.730137
393.000000	|	-24.730672
394.000000	|	-24.731743
395.000000	|	-24.732279
396.000000	|	-24.738312
397.000000	|	-24.750379
398.000000	|	-24.756412
399.000000	|	-24.783493
400.000000	|	-24.856546
401.000000	|	-24.863142
402.000000	|	-24.876334
403.000000	|	-24.882930
404.000000	|	-24.894679
405.000000	|	-24.908582
406.000000	|	-24.936389
407.000000	|	-24.950292
408.000000	|	-24.963337
409.000000	|	-25.046803
410.000000	|	-25.075168
411.000000	|	-25.088787
412.000000	|	-25.095316
413.000000	|	-25.101844
414.000000	|	-25.117199
415.000000	|	-25.132553
416.000000	|	-25.166410
417.000000	|	-25.188283
418.000000	|	-25.220194
419.000000	|	-25.252104
420.000000	|	-25.359467
421.000000	|	-25.375085
422.000000	|	-25.406320
423.000000	|	-25.421938
424.000000	|	-25.439843
425.000000	|	-25.441053
426.000000	|	-25.443472
427.000000	|	-25.444682
428.000000	|	-25.449665
429.000000	|	-25.453440
430.000000	|	-25.457214
431.000000	|	-25.466368
432.000000	|	-25.475522
433.000000	|	-25.496247
434.000000	|	-25.500226
435.000000	|	-25.530245
436.000000	|	-25.588368
437.000000	|	-25.606703
438.000000	|	-25.625037
439.000000	|	-25.625107
440.000000	|	-25.625245
441.000000	|	-25.625315
442.000000	|	-25.696185
443.000000	|	-25.701344
444.000000	|	-25.706502
445.000000	|	-25.796395
446.000000	|	-25.817334
447.000000	|	-25.859213
448.000000	|	-25.880152
449.000000	|	-25.953097
450.000000	|	-25.953225
451.000000	|	-25.953284
452.000000	|	-25.953343
453.000000	|	-25.955519
454.000000	|	-25.957694
455.000000	|	-25.962182
456.000000	|	-25.981082
457.000000	|	-25.990532
458.000000	|	-25.995617
459.000000	|	-26.005786
460.000000	|	-26.010871
461.000000	|	-26.040251
462.000000	|	-26.049590
463.000000	|	-26.051584
464.000000	|	-26.053578
465.000000	|	-26.079160
466.000000	|	-26.130324
467.000000	|	-26.131528
468.000000	|	-26.133936
469.000000	|	-26.135140
470.000000	|	-26.156511
471.000000	|	-26.199254
472.000000	|	-26.220625
473.000000	|	-26.231336
474.000000	|	-26.240566
475.000000	|	-26.241064
476.000000	|	-26.241562
477.000000	|	-26.260682
478.000000	|	-26.279802
479.000000	|	-26.357593
480.000000	|	-26.396489
481.000000	|	-26.440146
482.000000	|	-26.449840
483.000000	|	-26.459534
484.000000	|	-26.530667
485.000000	|	-26.568640
486.000000	|	-26.569267
487.000000	|	-26.569895
488.000000	|	-26.592524
489.000000	|	-26.602491
490.000000	|	-26.606802
491.000000	|	-26.611112
492.000000	|	-26.642541
493.000000	|	-26.673699
494.000000	|	-26.688738
495.000000	|	-26.695987
496.000000	|	-26.703237
497.000000	|	-26.721083
498.000000	|	-26.738930
499.000000	|	-26.745929
500.000000	|	-26.759928
501.000000	|	-26.766927
502.000000	|	-26.779814
503.000000	|	-26.849511
504.000000	|	-26.919207
505.000000	|	-26.944139
506.000000	|	-26.945919
507.000000	|	-26.949478
508.000000	|	-26.951258
509.000000	|	-26.958331
510.000000	|	-26.965382
511.000000	|	-26.968864
512.000000	|	-26.970584
513.000000	|	-26.972303
514.000000	|	-26.975168
515.000000	|	-26.978032
516.000000	|	-27.017768
517.000000	|	-27.037635
518.000000	|	-27.072297
519.000000	|	-27.085421
520.000000	|	-27.095039
521.000000	|	-27.104656
522.000000	|	-27.109360
523.000000	|	-27.110843
524.000000	|	-27.112325
525.000000	|	-27.128693
526.000000	|	-27.145061
527.000000	|	-27.184241
528.000000	|	-27.199816
529.000000	|	-27.230965
530.000000	|	-27.246540
531.000000	|	-27.285652
532.000000	|	-27.305204
533.000000	|	-27.314978
534.000000	|	-27.319546
535.000000	|	-27.321192
536.000000	|	-27.321697
537.000000	|	-27.322201
538.000000	|	-27.369217
539.000000	|	-27.372408
540.000000	|	-27.375598
541.000000	|	-27.505947
542.000000	|	-27.505955
543.000000	|	-27.505970
544.000000	|	-27.505977
545.000000	|	-27.526717
546.000000	|	-27.547458
547.000000	|	-27.556411
548.000000	|	-27.565231
549.000000	|	-27.574051
550.000000	|	-27.613838
551.000000	|	-27.653626
552.000000	|	-27.691158
553.000000	|	-27.705148
554.000000	|	-27.709756
555.000000	|	-27.714364
556.000000	|	-27.730562
557.000000	|	-27.762956
558.000000	|	-27.762992
559.000000	|	-27.763063
560.000000	|	-27.763099
561.000000	|	-27.781360
562.000000	|	-27.786561
563.000000	|	-27.791762
564.000000	|	-27.798942
565.000000	|	-27.813303
566.000000	|	-27.820483
567.000000	|	-27.828030
568.000000	|	-27.843124
569.000000	|	-27.843795
570.000000	|	-27.845136
571.000000	|	-27.845807
572.000000	|	-27.868918
573.000000	|	-27.892029
574.000000	|	-27.938842
575.000000	|	-27.957481
576.000000	|	-27.966261
577.000000	|	-27.975041
578.000000	|	-28.015464
579.000000	|	-28.027917
580.000000	|	-28.040371
581.000000	|	-28.065525
582.000000	|	-28.075241
583.000000	|	-28.084956
584.000000	|	-28.095573
585.000000	|	-28.106190
586.000000	|	-28.150459
587.000000	|	-28.194727
588.000000	|	-28.211000
589.000000	|	-28.216154
590.000000	|	-28.217241
591.000000	|	-28.218327
592.000000	|	-28.234077
593.000000	|	-28.235801
594.000000	|	-28.239250
595.000000	|	-28.240975
596.000000	|	-28.264363
597.000000	|	-28.287752
598.000000	|	-28.290261
599.000000	|	-28.295278
600.000000	|	-28.297787
601.000000	|	-28.312606
602.000000	|	-28.342243
603.000000	|	-28.357062
604.000000	|	-28.357152
605.000000	|	-28.357333
606.000000	|	-28.357423
607.000000	|	-28.420727
608.000000	|	-28.436296
609.000000	|	-28.467435
610.000000	|	-28.468314
611.000000	|	-28.469193
612.000000	|	-28.483634
613.000000	|	-28.498074
614.000000	|	-28.525175
615.000000	|	-28.552277
616.000000	|	-28.599011
617.000000	|	-28.607971
618.000000	|	-28.616931
619.000000	|	-28.618676
620.000000	|	-28.622166
621.000000	|	-28.623911
622.000000	|	-28.637802
623.000000	|	-28.644081
624.000000	|	-28.645887
625.000000	|	-28.646122
626.000000	|	-28.646358
627.000000	|	-28.664168
628.000000	|	-28.681978
629.000000	|	-28.718889
630.000000	|	-28.727653
631.000000	|	-28.745181
632.000000	|	-28.753945
633.000000	|	-28.776489
634.000000	|	-28.787978
635.000000	|	-28.799466
636.000000	|	-28.799805
637.000000	|	-28.800145
638.000000	|	-28.863121
639.000000	|	-28.867215
640.000000	|	-28.867778
641.000000	|	-28.868341
642.000000	|	-28.883108
643.000000	|	-28.897875
644.000000	|	-28.927407
645.000000	|	-28.956938
646.000000	|	-29.008817
647.000000	|	-29.015626
648.000000	|	-29.029243
649.000000	|	-29.036052
650.000000	|	-29.044482
651.000000	|	-29.073716
652.000000	|	-29.088141
653.000000	|	-29.094967
654.000000	|	-29.098187
655.000000	|	-29.101407
656.000000	|	-29.115317
657.000000	|	-29.143138
658.000000	|	-29.145379
659.000000	|	-29.147620
660.000000	|	-29.168156
661.000000	|	-29.188692
662.000000	|	-29.212506
663.000000	|	-29.284519
664.000000	|	-29.289760
665.000000	|	-29.295002
666.000000	|	-29.355913
667.000000	|	-29.360723
668.000000	|	-29.362740
669.000000	|	-29.364638
670.000000	|	-29.366537
671.000000	|	-29.373730
