Frequency (Hz)	|	Gain (dB)
244.000000	|	-7.289685
245.000000	|	-7.450305
246.000000	|	-7.517809
247.000000	|	-7.652818
248.000000	|	-7.720322
249.000000	|	-7.934366
250.000000	|	-7.939258
251.000000	|	-7.940028
252.000000	|	-7.940076
253.000000	|	-7.940124
254.000000	|	-7.940125
255.000000	|	-7.940125
256.000000	|	-7.940125
257.000000	|	-7.940125
258.000000	|	-7.940125
259.000000	|	-7.940125
260.000000	|	-7.940125
261.000000	|	-7.940125
262.000000	|	-7.940125
263.000000	|	-7.940061
264.000000	|	-7.940029
265.000000	|	-7.939900
266.000000	|	-7.937841
267.000000	|	-7.929607
268.000000	|	-7.896665
269.000000	|	-7.764868
270.000000	|	-7.757111
271.000000	|	-7.753315
272.000000	|	-7.751459
273.000000	|	-7.750746
274.000000	|	-7.750614
275.000000	|	-7.750481
276.000000	|	-7.750234
277.000000	|	-7.749739
278.000000	|	-7.749492
279.000000	|	-7.748454
280.000000	|	-7.628422
281.000000	|	-7.122828
282.000000	|	-6.995369
283.000000	|	-6.740451
284.000000	|	-6.708586
285.000000	|	-6.692655
286.000000	|	-6.660791
287.000000	|	-6.660542
288.000000	|	-6.660044
289.000000	|	-6.659982
290.000000	|	-6.659951
291.000000	|	-6.659936
292.000000	|	-6.659935
293.000000	|	-6.659935
294.000000	|	-6.659935
295.000000	|	-6.659935
296.000000	|	-6.659935
297.000000	|	-6.659935
298.000000	|	-6.659935
299.000000	|	-6.659935
300.000000	|	-6.659935
301.000000	|	-6.659935
302.000000	|	-6.659934
303.000000	|	-6.659934
304.000000	|	-6.659933
305.000000	|	-6.659925
306.000000	|	-6.659921
307.000000	|	-6.659904
308.000000	|	-6.659838
309.000000	|	-6.659574
310.000000	|	-6.655348
311.000000	|	-6.621531
312.000000	|	-6.614159
313.000000	|	-6.613281
314.000000	|	-6.612856
315.000000	|	-6.612845
316.000000	|	-6.612835
317.000000	|	-6.612831
318.000000	|	-6.612830
319.000000	|	-6.612830
320.000000	|	-6.612830
321.000000	|	-6.612830
322.000000	|	-6.612829
323.000000	|	-6.612829
324.000000	|	-6.608299
325.000000	|	-6.526736
326.000000	|	-6.485954
327.000000	|	-6.322661
328.000000	|	-6.160019
329.000000	|	-6.120764
330.000000	|	-6.103608
331.000000	|	-6.103101
332.000000	|	-6.102087
333.000000	|	-6.101579
334.000000	|	-6.078690
335.000000	|	-6.032911
336.000000	|	-6.010021
337.000000	|	-5.890221
338.000000	|	-5.644757
339.000000	|	-5.637107
340.000000	|	-5.621808
341.000000	|	-5.621569
342.000000	|	-5.621330
343.000000	|	-5.621300
344.000000	|	-5.621297
345.000000	|	-5.621297
346.000000	|	-5.621297
347.000000	|	-5.621297
348.000000	|	-5.621297
349.000000	|	-5.621297
350.000000	|	-5.621297
351.000000	|	-5.621297
352.000000	|	-5.621297
353.000000	|	-5.621298
354.000000	|	-5.621405
355.000000	|	-5.728104
356.000000	|	-5.941502
357.000000	|	-6.048200
358.000000	|	-7.637836
359.000000	|	-8.021004
