Frequency (Hz)	|	Gain (dB)
244.000000	|	-16.703824
245.000000	|	-16.726823
246.000000	|	-16.749823
247.000000	|	-16.794240
248.000000	|	-16.797516
249.000000	|	-16.800792
250.000000	|	-16.847955
251.000000	|	-16.864546
252.000000	|	-16.869347
253.000000	|	-16.874148
254.000000	|	-16.894421
255.000000	|	-16.914694
256.000000	|	-16.930923
257.000000	|	-16.947153
258.000000	|	-16.972020
259.000000	|	-17.002817
260.000000	|	-17.033613
261.000000	|	-17.035022
262.000000	|	-17.037839
263.000000	|	-17.039248
264.000000	|	-17.039765
265.000000	|	-17.040281
266.000000	|	-17.054406
267.000000	|	-17.068530
268.000000	|	-17.135061
269.000000	|	-17.140512
270.000000	|	-17.151412
271.000000	|	-17.156862
272.000000	|	-17.192037
273.000000	|	-17.227211
274.000000	|	-17.228233
275.000000	|	-17.230277
276.000000	|	-17.231299
277.000000	|	-17.239418
278.000000	|	-17.255656
279.000000	|	-17.259656
280.000000	|	-17.263656
281.000000	|	-17.268524
282.000000	|	-17.273392
283.000000	|	-17.278320
284.000000	|	-17.334894
285.000000	|	-17.359723
286.000000	|	-17.370408
287.000000	|	-17.381094
288.000000	|	-17.448680
289.000000	|	-17.490492
290.000000	|	-17.516020
291.000000	|	-17.523974
292.000000	|	-17.526027
293.000000	|	-17.526092
294.000000	|	-17.526157
295.000000	|	-17.581682
296.000000	|	-17.606454
297.000000	|	-17.608830
298.000000	|	-17.608931
299.000000	|	-17.609133
300.000000	|	-17.609234
301.000000	|	-17.611902
302.000000	|	-17.613236
303.000000	|	-17.620238
304.000000	|	-17.627247
305.000000	|	-17.676389
306.000000	|	-17.749334
307.000000	|	-17.785002
308.000000	|	-17.787726
309.000000	|	-17.790449
310.000000	|	-17.852701
311.000000	|	-17.883257
312.000000	|	-17.883401
313.000000	|	-17.883535
314.000000	|	-17.883585
315.000000	|	-17.883601
316.000000	|	-17.883618
317.000000	|	-17.883656
318.000000	|	-17.883732
319.000000	|	-17.883770
320.000000	|	-17.886276
321.000000	|	-17.912091
322.000000	|	-17.928325
323.000000	|	-17.944096
324.000000	|	-17.951056
325.000000	|	-17.954073
326.000000	|	-17.957089
327.000000	|	-18.056058
328.000000	|	-18.101183
329.000000	|	-18.107186
330.000000	|	-18.107599
331.000000	|	-18.108013
332.000000	|	-18.108567
333.000000	|	-18.108912
334.000000	|	-18.109603
335.000000	|	-18.109949
336.000000	|	-18.111064
337.000000	|	-18.113294
338.000000	|	-18.114409
339.000000	|	-18.145072
340.000000	|	-18.175735
341.000000	|	-18.277760
342.000000	|	-18.319866
343.000000	|	-18.361971
344.000000	|	-18.362053
345.000000	|	-18.362217
346.000000	|	-18.362299
347.000000	|	-18.373580
348.000000	|	-18.396143
349.000000	|	-18.399135
350.000000	|	-18.402128
351.000000	|	-18.418286
352.000000	|	-18.419814
353.000000	|	-18.421341
354.000000	|	-18.432902
355.000000	|	-18.437402
356.000000	|	-18.441901
357.000000	|	-18.442795
358.000000	|	-18.444584
359.000000	|	-18.445478
360.000000	|	-18.448613
361.000000	|	-18.450171
362.000000	|	-18.450944
363.000000	|	-18.451717
364.000000	|	-18.452361
365.000000	|	-18.453005
366.000000	|	-18.453864
367.000000	|	-18.529445
368.000000	|	-18.582659
369.000000	|	-18.609124
370.000000	|	-18.622070
371.000000	|	-18.628401
372.000000	|	-18.634731
373.000000	|	-18.636298
374.000000	|	-18.637010
375.000000	|	-18.637302
376.000000	|	-18.637416
377.000000	|	-18.637529
378.000000	|	-18.637585
379.000000	|	-18.637696
380.000000	|	-18.637751
381.000000	|	-18.640250
382.000000	|	-18.641500
383.000000	|	-18.646536
384.000000	|	-18.657572
385.000000	|	-18.703905
386.000000	|	-18.793443
