Frequency (Hz)	|	Gain (dB)
244.000000	|	-9.114035
245.000000	|	-9.191526
246.000000	|	-9.194302
247.000000	|	-9.197078
248.000000	|	-9.241330
249.000000	|	-9.285582
250.000000	|	-9.401866
251.000000	|	-9.403182
252.000000	|	-9.405815
253.000000	|	-9.407132
254.000000	|	-9.442268
255.000000	|	-9.477404
256.000000	|	-9.519247
257.000000	|	-9.519947
258.000000	|	-9.555376
259.000000	|	-9.590552
260.000000	|	-9.625727
261.000000	|	-9.630300
262.000000	|	-9.639445
263.000000	|	-9.644018
264.000000	|	-9.657377
265.000000	|	-9.660042
266.000000	|	-9.662707
267.000000	|	-9.681900
268.000000	|	-9.701093
269.000000	|	-9.769981
270.000000	|	-9.790665
271.000000	|	-9.811348
272.000000	|	-9.849927
273.000000	|	-9.888507
274.000000	|	-9.914706
275.000000	|	-9.918526
276.000000	|	-9.922346
277.000000	|	-9.961552
278.000000	|	-9.971623
279.000000	|	-9.971893
280.000000	|	-9.972162
281.000000	|	-9.976187
282.000000	|	-9.984236
283.000000	|	-9.988261
284.000000	|	-10.107798
285.000000	|	-10.108136
286.000000	|	-10.108811
287.000000	|	-10.109149
288.000000	|	-10.180308
289.000000	|	-10.207902
290.000000	|	-10.238285
291.000000	|	-10.276403
292.000000	|	-10.281962
293.000000	|	-10.293080
294.000000	|	-10.298639
295.000000	|	-10.328669
296.000000	|	-10.388728
297.000000	|	-10.389619
298.000000	|	-10.391401
299.000000	|	-10.392292
300.000000	|	-10.392359
301.000000	|	-10.392493
302.000000	|	-10.392560
303.000000	|	-10.395784
304.000000	|	-10.458388
305.000000	|	-10.527935
306.000000	|	-10.595625
307.000000	|	-10.643323
308.000000	|	-10.651795
309.000000	|	-10.660266
310.000000	|	-10.781201
311.000000	|	-10.782056
312.000000	|	-10.782133
313.000000	|	-10.782191
314.000000	|	-10.782248
315.000000	|	-10.782328
316.000000	|	-10.782408
317.000000	|	-10.782607
318.000000	|	-10.784940
319.000000	|	-10.786106
320.000000	|	-10.791923
321.000000	|	-10.795520
322.000000	|	-10.812043
323.000000	|	-10.845089
324.000000	|	-10.845136
325.000000	|	-10.845231
326.000000	|	-10.845279
327.000000	|	-10.944918
328.000000	|	-10.994613
329.000000	|	-11.019213
330.000000	|	-11.031389
331.000000	|	-11.043565
332.000000	|	-11.044403
333.000000	|	-11.045241
334.000000	|	-11.048741
335.000000	|	-11.052240
336.000000	|	-11.101963
337.000000	|	-11.107416
338.000000	|	-11.118323
339.000000	|	-11.123777
340.000000	|	-11.228190
341.000000	|	-11.332845
342.000000	|	-11.384906
343.000000	|	-11.410804
344.000000	|	-11.436701
345.000000	|	-11.450213
346.000000	|	-11.450726
347.000000	|	-11.451751
348.000000	|	-11.452264
349.000000	|	-11.471261
350.000000	|	-11.478627
351.000000	|	-11.485992
352.000000	|	-11.571791
353.000000	|	-11.609354
354.000000	|	-11.646916
355.000000	|	-11.679948
356.000000	|	-11.695437
357.000000	|	-11.702668
358.000000	|	-11.709899
359.000000	|	-11.728024
360.000000	|	-11.764274
361.000000	|	-11.782399
362.000000	|	-11.782404
363.000000	|	-11.782415
364.000000	|	-11.782420
365.000000	|	-11.790888
366.000000	|	-11.799355
367.000000	|	-11.866303
368.000000	|	-11.920973
369.000000	|	-11.946999
370.000000	|	-11.957396
371.000000	|	-11.961286
372.000000	|	-11.965176
373.000000	|	-11.966344
374.000000	|	-11.966926
375.000000	|	-11.967068
376.000000	|	-11.967132
377.000000	|	-11.967196
378.000000	|	-11.967382
379.000000	|	-11.967754
380.000000	|	-11.967939
381.000000	|	-11.969056
382.000000	|	-11.970264
383.000000	|	-11.975103
384.000000	|	-11.985781
385.000000	|	-12.029066
386.000000	|	-12.115814
387.000000	|	-12.130024
388.000000	|	-12.158443
389.000000	|	-12.164834
390.000000	|	-12.166602
391.000000	|	-12.166771
392.000000	|	-12.166941
393.000000	|	-12.187957
394.000000	|	-12.208974
395.000000	|	-12.240645
396.000000	|	-12.245890
397.000000	|	-12.250376
398.000000	|	-12.250543
399.000000	|	-12.250710
400.000000	|	-12.260064
401.000000	|	-12.269417
402.000000	|	-12.288517
403.000000	|	-12.306301
404.000000	|	-12.324085
405.000000	|	-12.343009
406.000000	|	-12.380858
407.000000	|	-12.399782
408.000000	|	-12.401726
409.000000	|	-12.402634
410.000000	|	-12.402957
411.000000	|	-12.403053
412.000000	|	-12.403149
413.000000	|	-12.403276
414.000000	|	-12.403530
415.000000	|	-12.403656
416.000000	|	-12.407353
417.000000	|	-12.410111
418.000000	|	-12.412868
419.000000	|	-12.417924
420.000000	|	-12.422981
421.000000	|	-12.423262
422.000000	|	-12.423825
423.000000	|	-12.424107
424.000000	|	-12.440130
425.000000	|	-12.441132
426.000000	|	-12.441632
427.000000	|	-12.441883
428.000000	|	-12.442008
429.000000	|	-12.442258
430.000000	|	-12.442290
431.000000	|	-12.442352
432.000000	|	-12.442360
433.000000	|	-12.442368
434.000000	|	-12.442372
435.000000	|	-12.442374
436.000000	|	-12.442374
437.000000	|	-12.442374
438.000000	|	-12.442374
439.000000	|	-12.442374
440.000000	|	-12.442374
441.000000	|	-12.442374
442.000000	|	-12.442374
443.000000	|	-12.442374
444.000000	|	-12.442374
445.000000	|	-12.442374
446.000000	|	-12.442374
447.000000	|	-12.442379
448.000000	|	-12.442539
449.000000	|	-12.443815
450.000000	|	-12.445092
451.000000	|	-12.450231
452.000000	|	-12.470788
453.000000	|	-12.478745
454.000000	|	-12.482344
455.000000	|	-12.483385
456.000000	|	-12.484426
457.000000	|	-12.488968
458.000000	|	-12.493055
459.000000	|	-12.494187
460.000000	|	-12.495319
461.000000	|	-12.516742
462.000000	|	-12.559588
463.000000	|	-12.568013
464.000000	|	-12.576437
465.000000	|	-12.616772
466.000000	|	-12.655043
467.000000	|	-12.664437
468.000000	|	-12.673750
469.000000	|	-12.678242
470.000000	|	-12.680405
471.000000	|	-12.681324
472.000000	|	-12.681774
473.000000	|	-12.681981
474.000000	|	-12.682074
475.000000	|	-12.682168
476.000000	|	-12.682284
477.000000	|	-12.686130
478.000000	|	-12.713237
479.000000	|	-12.742299
480.000000	|	-12.782500
481.000000	|	-12.819681
482.000000	|	-12.832234
483.000000	|	-12.844786
484.000000	|	-12.845634
485.000000	|	-12.847330
486.000000	|	-12.848178
487.000000	|	-12.875951
488.000000	|	-12.883257
489.000000	|	-12.890563
490.000000	|	-12.905241
491.000000	|	-12.911268
492.000000	|	-12.913625
493.000000	|	-12.915983
494.000000	|	-12.923235
495.000000	|	-12.925581
496.000000	|	-12.930272
497.000000	|	-12.931294
498.000000	|	-12.931377
499.000000	|	-12.931460
500.000000	|	-12.933570
501.000000	|	-12.935681
502.000000	|	-12.939947
503.000000	|	-12.962585
504.000000	|	-12.994916
505.000000	|	-13.011080
506.000000	|	-13.019161
507.000000	|	-13.027243
508.000000	|	-13.027893
509.000000	|	-13.028543
510.000000	|	-13.029916
511.000000	|	-13.033104
512.000000	|	-13.095317
513.000000	|	-13.123552
514.000000	|	-13.174397
515.000000	|	-13.193691
516.000000	|	-13.200273
517.000000	|	-13.206855
518.000000	|	-13.215245
519.000000	|	-13.232024
520.000000	|	-13.240414
521.000000	|	-13.276262
522.000000	|	-13.312111
523.000000	|	-13.338480
524.000000	|	-13.391220
525.000000	|	-13.417589
526.000000	|	-13.424951
527.000000	|	-13.432314
528.000000	|	-13.440208
529.000000	|	-13.448102
530.000000	|	-13.451693
531.000000	|	-13.455255
532.000000	|	-13.456976
533.000000	|	-13.457181
534.000000	|	-13.457590
535.000000	|	-13.457795
536.000000	|	-13.459504
537.000000	|	-13.462921
538.000000	|	-13.464630
539.000000	|	-13.472572
540.000000	|	-13.517816
541.000000	|	-13.526829
542.000000	|	-13.535843
543.000000	|	-13.544331
544.000000	|	-13.552819
545.000000	|	-13.589380
546.000000	|	-13.595821
547.000000	|	-13.602261
548.000000	|	-13.615350
549.000000	|	-13.628440
550.000000	|	-13.631057
551.000000	|	-13.636292
552.000000	|	-13.638909
553.000000	|	-13.671319
554.000000	|	-13.674441
555.000000	|	-13.675168
556.000000	|	-13.675489
557.000000	|	-13.675629
558.000000	|	-13.675768
559.000000	|	-13.677167
560.000000	|	-13.679966
561.000000	|	-13.681365
562.000000	|	-13.687838
563.000000	|	-13.689925
564.000000	|	-13.694100
565.000000	|	-13.696188
566.000000	|	-13.735426
567.000000	|	-13.736310
568.000000	|	-13.738079
569.000000	|	-13.738963
570.000000	|	-13.741022
571.000000	|	-13.743081
572.000000	|	-13.747796
573.000000	|	-13.757227
574.000000	|	-13.757598
575.000000	|	-13.757970
576.000000	|	-13.826342
577.000000	|	-13.859466
578.000000	|	-13.873903
579.000000	|	-13.880058
580.000000	|	-13.886214
581.000000	|	-13.888344
582.000000	|	-13.892604
583.000000	|	-13.894734
584.000000	|	-13.905115
585.000000	|	-13.915497
586.000000	|	-13.938065
587.000000	|	-13.960633
588.000000	|	-13.979334
589.000000	|	-13.998036
590.000000	|	-14.009015
591.000000	|	-14.014027
592.000000	|	-14.019038
593.000000	|	-14.032497
594.000000	|	-14.059415
595.000000	|	-14.072874
596.000000	|	-14.093176
597.000000	|	-14.094445
598.000000	|	-14.095713
599.000000	|	-14.096347
600.000000	|	-14.096665
601.000000	|	-14.096704
602.000000	|	-14.096783
603.000000	|	-14.096793
604.000000	|	-14.096813
605.000000	|	-14.096813
606.000000	|	-14.096813
607.000000	|	-14.096813
