Frequency (Hz)	|	Gain (dB)
244.000000	|	-15.841659
245.000000	|	-16.564628
246.000000	|	-16.685480
247.000000	|	-16.692993
248.000000	|	-16.694871
249.000000	|	-16.695341
250.000000	|	-16.695458
251.000000	|	-16.695473
252.000000	|	-16.695480
253.000000	|	-16.695488
254.000000	|	-16.695488
255.000000	|	-16.695489
256.000000	|	-16.695489
257.000000	|	-16.695489
258.000000	|	-16.695489
259.000000	|	-16.695489
260.000000	|	-16.695489
261.000000	|	-16.695489
262.000000	|	-16.695489
263.000000	|	-16.695489
264.000000	|	-16.695489
265.000000	|	-16.695489
266.000000	|	-16.695489
267.000000	|	-16.695489
268.000000	|	-16.695489
269.000000	|	-16.695489
270.000000	|	-16.695489
271.000000	|	-16.695489
272.000000	|	-16.695504
273.000000	|	-16.695565
274.000000	|	-16.696529
275.000000	|	-16.755424
276.000000	|	-16.784847
277.000000	|	-16.799547
278.000000	|	-16.806846
279.000000	|	-16.807108
280.000000	|	-16.807218
281.000000	|	-16.807438
282.000000	|	-16.807548
283.000000	|	-16.807902
284.000000	|	-16.808257
285.000000	|	-16.811054
286.000000	|	-16.812452
287.000000	|	-16.836090
288.000000	|	-16.841999
289.000000	|	-16.842735
290.000000	|	-16.843099
291.000000	|	-16.843280
292.000000	|	-16.843641
293.000000	|	-16.843643
294.000000	|	-16.843648
295.000000	|	-16.843648
296.000000	|	-16.843649
297.000000	|	-16.843649
298.000000	|	-16.843649
299.000000	|	-16.843650
300.000000	|	-16.843663
301.000000	|	-16.843941
302.000000	|	-16.848974
303.000000	|	-16.851490
304.000000	|	-16.861558
305.000000	|	-16.871626
306.000000	|	-16.911904
307.000000	|	-17.234289
308.000000	|	-17.277774
309.000000	|	-17.299516
310.000000	|	-17.310387
311.000000	|	-17.311055
312.000000	|	-17.311712
313.000000	|	-17.312018
314.000000	|	-17.312161
315.000000	|	-17.312303
316.000000	|	-17.312564
317.000000	|	-17.312824
318.000000	|	-17.313477
319.000000	|	-17.319029
320.000000	|	-17.321805
321.000000	|	-17.333340
322.000000	|	-17.379552
323.000000	|	-17.402658
324.000000	|	-17.495101
325.000000	|	-17.777842
326.000000	|	-18.130566
327.000000	|	-18.839959
328.000000	|	-18.841800
329.000000	|	-18.842701
330.000000	|	-18.843141
331.000000	|	-18.843581
332.000000	|	-18.843603
333.000000	|	-18.843647
334.000000	|	-18.843669
335.000000	|	-18.844503
336.000000	|	-18.844919
337.000000	|	-18.844921
338.000000	|	-18.844921
339.000000	|	-18.844921
340.000000	|	-18.844921
341.000000	|	-18.844921
342.000000	|	-18.844921
343.000000	|	-18.844921
344.000000	|	-18.844921
345.000000	|	-18.844921
346.000000	|	-18.844921
347.000000	|	-18.844921
348.000000	|	-18.844910
349.000000	|	-18.844214
350.000000	|	-18.841429
351.000000	|	-18.838645
352.000000	|	-18.838601
353.000000	|	-18.838558
354.000000	|	-18.838556
355.000000	|	-18.838556
356.000000	|	-18.838556
357.000000	|	-18.838556
358.000000	|	-18.838556
359.000000	|	-18.838556
360.000000	|	-18.838556
361.000000	|	-18.838556
362.000000	|	-18.838556
363.000000	|	-18.838556
364.000000	|	-18.838556
365.000000	|	-18.838556
366.000000	|	-18.903477
367.000000	|	-19.327372
368.000000	|	-19.483507
369.000000	|	-19.600232
370.000000	|	-19.691985
371.000000	|	-19.737766
372.000000	|	-19.738424
373.000000	|	-19.738741
374.000000	|	-19.738808
375.000000	|	-19.738815
376.000000	|	-19.738823
377.000000	|	-19.738889
378.000000	|	-19.738956
379.000000	|	-19.739024
380.000000	|	-19.739028
381.000000	|	-19.739028
382.000000	|	-19.739028
383.000000	|	-19.739028
384.000000	|	-19.739028
385.000000	|	-19.739028
386.000000	|	-19.739028
387.000000	|	-19.739028
388.000000	|	-19.739028
389.000000	|	-19.739028
390.000000	|	-19.739028
391.000000	|	-19.739028
392.000000	|	-19.739028
393.000000	|	-19.739028
394.000000	|	-19.739028
395.000000	|	-19.739028
396.000000	|	-19.739028
397.000000	|	-19.739028
398.000000	|	-19.739028
399.000000	|	-19.739028
400.000000	|	-19.739028
401.000000	|	-19.739034
402.000000	|	-19.739046
403.000000	|	-19.739093
404.000000	|	-19.739187
405.000000	|	-19.739565
406.000000	|	-19.751661
407.000000	|	-19.800046
408.000000	|	-19.824238
409.000000	|	-19.921007
410.000000	|	-20.033922
