Frequency (Hz)	|	Gain (dB)
244.000000	|	-14.337220
245.000000	|	-14.339305
246.000000	|	-14.343475
247.000000	|	-14.360156
248.000000	|	-14.390956
249.000000	|	-14.390971
250.000000	|	-14.390971
251.000000	|	-14.390971
252.000000	|	-14.390971
253.000000	|	-14.390971
254.000000	|	-14.390971
255.000000	|	-14.390971
256.000000	|	-14.390971
257.000000	|	-14.390971
258.000000	|	-14.390971
259.000000	|	-14.390970
260.000000	|	-14.390876
261.000000	|	-14.390120
262.000000	|	-14.378030
263.000000	|	-14.280957
264.000000	|	-14.232092
265.000000	|	-14.219876
266.000000	|	-14.213769
267.000000	|	-14.212242
268.000000	|	-14.211478
269.000000	|	-14.211431
270.000000	|	-14.211429
271.000000	|	-14.211429
272.000000	|	-14.211429
273.000000	|	-14.211429
274.000000	|	-14.211429
275.000000	|	-14.211429
276.000000	|	-14.211429
277.000000	|	-14.211429
278.000000	|	-14.211429
279.000000	|	-14.211429
280.000000	|	-14.211429
281.000000	|	-14.211429
282.000000	|	-14.211429
283.000000	|	-14.211429
284.000000	|	-14.211429
285.000000	|	-14.211429
286.000000	|	-14.211429
287.000000	|	-14.211429
288.000000	|	-14.211429
289.000000	|	-14.211429
290.000000	|	-14.211428
291.000000	|	-14.211426
292.000000	|	-14.211258
293.000000	|	-14.209915
294.000000	|	-14.209244
295.000000	|	-14.187677
296.000000	|	-14.101381
297.000000	|	-14.058233
298.000000	|	-13.885633
299.000000	|	-13.704961
300.000000	|	-13.702178
301.000000	|	-13.701519
302.000000	|	-13.701193
303.000000	|	-13.701164
304.000000	|	-13.701107
305.000000	|	-13.701078
306.000000	|	-13.701066
307.000000	|	-13.701041
308.000000	|	-13.701029
309.000000	|	-13.700596
310.000000	|	-13.700306
311.000000	|	-13.699725
312.000000	|	-13.699653
313.000000	|	-13.699652
314.000000	|	-13.699652
315.000000	|	-13.699652
316.000000	|	-13.699652
317.000000	|	-13.699652
318.000000	|	-13.699652
319.000000	|	-13.699652
320.000000	|	-13.699652
321.000000	|	-13.699652
322.000000	|	-13.699660
323.000000	|	-13.703864
324.000000	|	-13.712272
325.000000	|	-13.729088
326.000000	|	-13.796350
327.000000	|	-14.334450
328.000000	|	-15.248861
329.000000	|	-16.017479
330.000000	|	-16.029406
331.000000	|	-16.035115
332.000000	|	-16.036514
333.000000	|	-16.037214
334.000000	|	-16.037215
335.000000	|	-16.037217
336.000000	|	-16.037217
337.000000	|	-16.037217
338.000000	|	-16.037217
339.000000	|	-16.037217
340.000000	|	-16.037217
341.000000	|	-16.037217
342.000000	|	-16.037217
343.000000	|	-16.037217
344.000000	|	-16.037217
345.000000	|	-16.037217
346.000000	|	-16.037184
347.000000	|	-16.036920
348.000000	|	-16.035866
349.000000	|	-16.031649
350.000000	|	-15.964166
351.000000	|	-15.896682
352.000000	|	-15.626365
353.000000	|	-15.497169
354.000000	|	-15.432570
355.000000	|	-15.432066
356.000000	|	-15.431814
357.000000	|	-15.431814
358.000000	|	-15.431814
359.000000	|	-15.431814
360.000000	|	-15.431814
361.000000	|	-15.431814
362.000000	|	-15.431814
363.000000	|	-15.431814
364.000000	|	-15.431814
365.000000	|	-15.431832
366.000000	|	-15.432988
367.000000	|	-15.437615
368.000000	|	-15.439928
369.000000	|	-15.449182
370.000000	|	-15.597237
371.000000	|	-15.671256
372.000000	|	-15.708243
373.000000	|	-15.712699
374.000000	|	-15.714577
375.000000	|	-15.714768
376.000000	|	-15.714864
377.000000	|	-15.714961
378.000000	|	-15.716266
379.000000	|	-15.717571
380.000000	|	-15.717746
381.000000	|	-15.717790
382.000000	|	-15.717790
383.000000	|	-15.717790
384.000000	|	-15.717790
385.000000	|	-15.717790
386.000000	|	-15.717790
387.000000	|	-15.717790
388.000000	|	-15.717790
389.000000	|	-15.717790
390.000000	|	-15.717790
391.000000	|	-15.717790
392.000000	|	-15.717789
393.000000	|	-15.717788
394.000000	|	-15.708407
395.000000	|	-15.670884
396.000000	|	-15.652122
397.000000	|	-15.577075
398.000000	|	-15.426968
399.000000	|	-15.126754
400.000000	|	-15.089227
401.000000	|	-15.051700
402.000000	|	-15.032937
403.000000	|	-15.023555
404.000000	|	-15.021210
405.000000	|	-15.020917
406.000000	|	-15.020331
407.000000	|	-15.020257
408.000000	|	-15.020221
409.000000	|	-15.020148
410.000000	|	-15.020145
411.000000	|	-15.020143
412.000000	|	-15.020143
413.000000	|	-15.020143
414.000000	|	-15.020143
415.000000	|	-15.020143
416.000000	|	-15.020143
417.000000	|	-15.020143
418.000000	|	-15.020143
419.000000	|	-15.020143
420.000000	|	-15.020143
421.000000	|	-15.020143
422.000000	|	-15.020143
423.000000	|	-15.020143
424.000000	|	-15.020143
425.000000	|	-15.020143
426.000000	|	-15.020145
427.000000	|	-15.020146
428.000000	|	-15.020153
429.000000	|	-15.020160
430.000000	|	-15.020187
431.000000	|	-15.020215
432.000000	|	-15.020326
433.000000	|	-15.021214
434.000000	|	-15.476209
435.000000	|	-16.133593
436.000000	|	-16.462286
437.000000	|	-16.626632
438.000000	|	-16.629200
439.000000	|	-16.629210
440.000000	|	-16.629230
441.000000	|	-16.629230
442.000000	|	-16.629230
443.000000	|	-16.629230
444.000000	|	-16.629230
445.000000	|	-16.629230
446.000000	|	-16.629230
447.000000	|	-16.629230
448.000000	|	-16.629230
449.000000	|	-16.629229
450.000000	|	-16.629221
451.000000	|	-16.629190
452.000000	|	-16.628192
453.000000	|	-16.624203
454.000000	|	-16.624200
455.000000	|	-16.624199
456.000000	|	-16.624199
457.000000	|	-16.624199
458.000000	|	-16.624199
459.000000	|	-16.624198
460.000000	|	-16.624198
461.000000	|	-16.624198
462.000000	|	-16.624198
463.000000	|	-16.624198
464.000000	|	-16.624198
465.000000	|	-16.624196
466.000000	|	-16.624172
467.000000	|	-16.624070
468.000000	|	-16.620694
469.000000	|	-16.593258
470.000000	|	-16.483337
471.000000	|	-16.428377
472.000000	|	-15.862490
473.000000	|	-15.353206
474.000000	|	-15.258387
475.000000	|	-15.246535
476.000000	|	-15.246165
477.000000	|	-15.246164
478.000000	|	-15.246164
479.000000	|	-15.246164
480.000000	|	-15.246164
481.000000	|	-15.246164
482.000000	|	-15.246164
483.000000	|	-15.246164
484.000000	|	-15.246164
485.000000	|	-15.246164
486.000000	|	-15.246165
487.000000	|	-15.246165
488.000000	|	-15.247895
489.000000	|	-15.303252
490.000000	|	-15.524681
491.000000	|	-15.824492
492.000000	|	-16.503746
493.000000	|	-17.167071
494.000000	|	-17.319577
495.000000	|	-17.395792
496.000000	|	-17.414840
497.000000	|	-17.419581
498.000000	|	-17.420746
499.000000	|	-17.420858
500.000000	|	-17.420909
501.000000	|	-17.420915
502.000000	|	-17.420915
503.000000	|	-17.420916
504.000000	|	-17.420916
505.000000	|	-17.420948
506.000000	|	-17.420980
507.000000	|	-17.421051
508.000000	|	-17.421229
509.000000	|	-17.421967
510.000000	|	-17.474824
511.000000	|	-17.501253
512.000000	|	-17.607232
513.000000	|	-17.713218
514.000000	|	-17.766222
515.000000	|	-17.779473
516.000000	|	-17.781129
517.000000	|	-17.781129
518.000000	|	-17.781129
519.000000	|	-17.781129
520.000000	|	-17.781129
521.000000	|	-17.781129
522.000000	|	-17.781129
523.000000	|	-17.781129
524.000000	|	-17.781129
525.000000	|	-17.781112
526.000000	|	-17.781043
527.000000	|	-17.780490
528.000000	|	-17.762809
529.000000	|	-17.745128
530.000000	|	-17.263350
531.000000	|	-16.885438
532.000000	|	-16.053431
533.000000	|	-15.860903
534.000000	|	-15.764638
535.000000	|	-15.764638
536.000000	|	-15.764638
537.000000	|	-15.764638
538.000000	|	-15.764638
539.000000	|	-15.764638
540.000000	|	-15.764638
541.000000	|	-15.764638
542.000000	|	-15.764638
543.000000	|	-15.764638
544.000000	|	-15.764639
545.000000	|	-15.764642
546.000000	|	-15.764740
547.000000	|	-15.764935
548.000000	|	-15.765717
549.000000	|	-15.790727
550.000000	|	-16.810892
551.000000	|	-17.152181
552.000000	|	-17.322826
553.000000	|	-17.408149
554.000000	|	-17.450810
555.000000	|	-17.450976
556.000000	|	-17.450997
557.000000	|	-17.450998
558.000000	|	-17.450999
559.000000	|	-17.451000
560.000000	|	-17.451000
561.000000	|	-17.451000
562.000000	|	-17.451000
563.000000	|	-17.451000
564.000000	|	-17.451000
565.000000	|	-17.451000
566.000000	|	-17.451000
567.000000	|	-17.451000
568.000000	|	-17.451001
569.000000	|	-17.451007
570.000000	|	-17.451013
571.000000	|	-17.451063
572.000000	|	-17.451272
573.000000	|	-17.452107
574.000000	|	-17.452525
575.000000	|	-17.454196
576.000000	|	-17.460880
577.000000	|	-17.464222
578.000000	|	-17.477589
579.000000	|	-17.584530
580.000000	|	-17.869972
581.000000	|	-17.869981
582.000000	|	-17.869981
583.000000	|	-17.869981
584.000000	|	-17.869981
585.000000	|	-17.869981
586.000000	|	-17.869981
587.000000	|	-17.869981
588.000000	|	-17.869981
589.000000	|	-17.869981
590.000000	|	-17.869980
591.000000	|	-17.869976
592.000000	|	-17.869942
593.000000	|	-17.869808
594.000000	|	-17.867655
595.000000	|	-17.833218
596.000000	|	-17.764343
597.000000	|	-17.488845
598.000000	|	-17.227841
599.000000	|	-17.227821
600.000000	|	-17.227819
601.000000	|	-17.227819
602.000000	|	-17.227819
603.000000	|	-17.227819
604.000000	|	-17.227819
605.000000	|	-17.227819
606.000000	|	-17.227819
607.000000	|	-17.227819
608.000000	|	-17.227820
609.000000	|	-17.227990
610.000000	|	-17.229349
611.000000	|	-17.230709
612.000000	|	-17.236147
613.000000	|	-17.279654
614.000000	|	-17.323161
615.000000	|	-17.497187
616.000000	|	-17.518940
617.000000	|	-17.518951
618.000000	|	-17.518951
619.000000	|	-17.518951
620.000000	|	-17.518951
621.000000	|	-17.518951
622.000000	|	-17.518951
623.000000	|	-17.518951
624.000000	|	-17.518951
625.000000	|	-17.518951
626.000000	|	-17.518951
627.000000	|	-17.518951
628.000000	|	-17.518676
629.000000	|	-17.514271
630.000000	|	-17.479037
631.000000	|	-17.338098
632.000000	|	-17.053532
633.000000	|	-16.484400
634.000000	|	-16.199834
635.000000	|	-16.159603
636.000000	|	-16.079140
637.000000	|	-16.079140
638.000000	|	-16.079139
639.000000	|	-16.079139
640.000000	|	-16.079139
641.000000	|	-16.079139
642.000000	|	-16.079139
643.000000	|	-16.079139
644.000000	|	-16.079139
645.000000	|	-16.079139
646.000000	|	-16.079139
647.000000	|	-16.079168
648.000000	|	-16.079398
649.000000	|	-16.079513
650.000000	|	-16.079973
651.000000	|	-16.550961
652.000000	|	-17.102604
653.000000	|	-17.469582
654.000000	|	-18.542963
655.000000	|	-18.723259
656.000000	|	-19.280736
657.000000	|	-19.296936
658.000000	|	-19.322033
659.000000	|	-19.328306
660.000000	|	-19.340851
661.000000	|	-19.341243
662.000000	|	-19.341635
663.000000	|	-19.341831
664.000000	|	-19.341843
665.000000	|	-19.341849
666.000000	|	-19.341850
667.000000	|	-19.341851
668.000000	|	-19.341851
669.000000	|	-19.341851
670.000000	|	-19.341851
671.000000	|	-19.341851
672.000000	|	-19.341851
673.000000	|	-19.341851
674.000000	|	-19.341851
675.000000	|	-19.341852
676.000000	|	-19.341854
677.000000	|	-19.341862
678.000000	|	-19.341870
679.000000	|	-19.341903
680.000000	|	-19.346127
681.000000	|	-19.348239
682.000000	|	-19.356688
683.000000	|	-19.390482
684.000000	|	-19.407379
685.000000	|	-19.474968
686.000000	|	-20.015678
687.000000	|	-20.235697
688.000000	|	-20.403517
689.000000	|	-20.406139
690.000000	|	-20.406467
691.000000	|	-20.407123
692.000000	|	-20.407133
693.000000	|	-20.407133
694.000000	|	-20.407133
695.000000	|	-20.407133
696.000000	|	-20.407133
697.000000	|	-20.407133
698.000000	|	-20.407133
699.000000	|	-20.407133
700.000000	|	-20.407133
701.000000	|	-20.407133
702.000000	|	-20.407130
703.000000	|	-20.406396
704.000000	|	-20.312404
705.000000	|	-19.687358
706.000000	|	-18.879879
707.000000	|	-18.864788
708.000000	|	-18.849698
709.000000	|	-18.208652
710.000000	|	-17.336318
711.000000	|	-16.320655
712.000000	|	-16.158641
713.000000	|	-15.496288
714.000000	|	-15.243881
715.000000	|	-15.228105
716.000000	|	-15.228074
717.000000	|	-15.228074
718.000000	|	-15.228074
719.000000	|	-15.228074
720.000000	|	-15.228074
721.000000	|	-15.228074
722.000000	|	-15.228074
723.000000	|	-15.228074
724.000000	|	-15.228074
725.000000	|	-15.228074
726.000000	|	-15.228074
727.000000	|	-15.228074
728.000000	|	-15.228230
729.000000	|	-15.238196
730.000000	|	-16.193208
731.000000	|	-16.820347
732.000000	|	-17.605357
733.000000	|	-18.447541
734.000000	|	-19.074942
735.000000	|	-19.460829
736.000000	|	-20.318706
737.000000	|	-20.334313
