Frequency (Hz)	|	Gain (dB)
244.000000	|	-12.683985
245.000000	|	-13.857350
246.000000	|	-14.374718
247.000000	|	-14.785884
248.000000	|	-15.011587
249.000000	|	-15.498139
250.000000	|	-15.287532
251.000000	|	-14.977865
252.000000	|	-14.725982
253.000000	|	-13.543480
254.000000	|	-13.191194
255.000000	|	-13.286694
256.000000	|	-14.304438
257.000000	|	-15.036004
258.000000	|	-15.791579
259.000000	|	-15.773672
260.000000	|	-16.215565
261.000000	|	-16.129064
262.000000	|	-15.608677
263.000000	|	-15.163625
264.000000	|	-13.968197
265.000000	|	-13.355277
266.000000	|	-12.310422
267.000000	|	-11.279762
268.000000	|	-8.953487
269.000000	|	-6.504048
270.000000	|	-6.882707
271.000000	|	-8.332217
272.000000	|	-9.798786
273.000000	|	-11.731633
274.000000	|	-12.933344
275.000000	|	-14.403292
276.000000	|	-15.161620
277.000000	|	-15.797686
278.000000	|	-15.611485
279.000000	|	-15.293183
280.000000	|	-15.104292
281.000000	|	-15.107982
282.000000	|	-14.739090
283.000000	|	-13.804257
284.000000	|	-12.387063
285.000000	|	-10.485255
286.000000	|	-9.510915
287.000000	|	-11.263934
288.000000	|	-12.915214
289.000000	|	-14.465541
290.000000	|	-15.225657
291.000000	|	-15.917811
292.000000	|	-16.157089
293.000000	|	-16.279088
294.000000	|	-15.882111
295.000000	|	-16.038056
296.000000	|	-14.853963
297.000000	|	-14.850011
298.000000	|	-14.192789
299.000000	|	-12.877369
300.000000	|	-11.452398
301.000000	|	-10.338377
302.000000	|	-8.918111
303.000000	|	-8.294793
304.000000	|	-10.212863
305.000000	|	-11.741428
306.000000	|	-13.255237
307.000000	|	-14.349285
308.000000	|	-14.866105
309.000000	|	-15.450760
310.000000	|	-16.074341
311.000000	|	-16.245133
312.000000	|	-16.227911
313.000000	|	-15.782151
314.000000	|	-15.205758
315.000000	|	-14.651807
316.000000	|	-13.959340
317.000000	|	-13.211832
318.000000	|	-11.821912
319.000000	|	-10.167381
320.000000	|	-8.103130
321.000000	|	-7.347158
322.000000	|	-9.183579
323.000000	|	-10.460375
324.000000	|	-12.319042
325.000000	|	-13.304906
326.000000	|	-14.387443
327.000000	|	-15.328573
328.000000	|	-16.142377
329.000000	|	-16.567996
330.000000	|	-16.785444
331.000000	|	-17.184036
332.000000	|	-17.171886
333.000000	|	-17.032856
334.000000	|	-16.677907
335.000000	|	-16.820042
336.000000	|	-16.122272
337.000000	|	-15.581937
338.000000	|	-14.941530
339.000000	|	-14.494178
340.000000	|	-14.371358
341.000000	|	-14.990540
342.000000	|	-15.875507
343.000000	|	-16.933794
344.000000	|	-17.349376
345.000000	|	-17.372506
346.000000	|	-18.004959
347.000000	|	-18.006571
348.000000	|	-18.153087
349.000000	|	-17.884672
350.000000	|	-17.617223
351.000000	|	-17.042852
352.000000	|	-16.237901
353.000000	|	-15.642055
354.000000	|	-14.865179
355.000000	|	-14.289822
356.000000	|	-12.891129
357.000000	|	-11.887505
358.000000	|	-10.622083
359.000000	|	-9.097867
360.000000	|	-7.086823
361.000000	|	-7.947952
362.000000	|	-9.097605
363.000000	|	-10.159218
364.000000	|	-11.616481
365.000000	|	-13.213878
366.000000	|	-14.587848
367.000000	|	-15.651452
368.000000	|	-16.445117
369.000000	|	-16.979364
370.000000	|	-17.373334
371.000000	|	-17.388201
372.000000	|	-17.657853
373.000000	|	-17.943568
374.000000	|	-17.401652
375.000000	|	-17.298886
376.000000	|	-17.154621
377.000000	|	-16.683188
378.000000	|	-15.885130
379.000000	|	-14.969786
380.000000	|	-13.644096
381.000000	|	-12.521219
382.000000	|	-12.532913
383.000000	|	-13.926641
384.000000	|	-14.661519
385.000000	|	-15.816615
386.000000	|	-16.564169
387.000000	|	-17.244542
388.000000	|	-17.477872
389.000000	|	-17.901226
390.000000	|	-18.354459
391.000000	|	-18.286812
392.000000	|	-18.499007
393.000000	|	-18.312681
394.000000	|	-17.902675
395.000000	|	-16.624618
396.000000	|	-17.169871
397.000000	|	-16.787434
398.000000	|	-15.862397
399.000000	|	-15.131815
400.000000	|	-14.174319
401.000000	|	-13.344496
402.000000	|	-11.448123
403.000000	|	-10.190939
404.000000	|	-8.932315
405.000000	|	-9.288353
406.000000	|	-10.694789
407.000000	|	-12.263570
408.000000	|	-13.717292
409.000000	|	-15.064232
410.000000	|	-15.979382
411.000000	|	-16.522920
412.000000	|	-17.053461
413.000000	|	-17.624116
414.000000	|	-17.911596
415.000000	|	-18.114263
416.000000	|	-18.373062
417.000000	|	-18.243620
418.000000	|	-17.967842
419.000000	|	-17.526915
420.000000	|	-17.284180
421.000000	|	-16.660653
422.000000	|	-16.378868
423.000000	|	-15.814584
424.000000	|	-15.580927
425.000000	|	-15.263622
426.000000	|	-13.622462
427.000000	|	-12.554066
428.000000	|	-11.061155
429.000000	|	-10.823181
430.000000	|	-11.609690
431.000000	|	-12.322583
432.000000	|	-13.841087
433.000000	|	-15.120795
434.000000	|	-16.723137
435.000000	|	-17.474367
436.000000	|	-18.059324
437.000000	|	-18.314087
438.000000	|	-18.744830
439.000000	|	-18.630205
440.000000	|	-19.157164
441.000000	|	-18.996208
442.000000	|	-19.163085
443.000000	|	-18.654969
444.000000	|	-18.463225
445.000000	|	-18.372254
446.000000	|	-17.716170
447.000000	|	-17.381793
448.000000	|	-16.912260
449.000000	|	-16.425045
450.000000	|	-15.701897
451.000000	|	-14.642452
452.000000	|	-13.309529
453.000000	|	-12.505917
454.000000	|	-12.008855
455.000000	|	-13.090700
456.000000	|	-14.218908
457.000000	|	-15.144361
458.000000	|	-16.093339
459.000000	|	-16.791811
460.000000	|	-17.372416
461.000000	|	-17.712183
462.000000	|	-18.205897
463.000000	|	-18.401758
464.000000	|	-18.829687
465.000000	|	-18.925657
466.000000	|	-18.708257
467.000000	|	-18.725588
468.000000	|	-18.112375
469.000000	|	-18.224153
470.000000	|	-17.779071
471.000000	|	-17.313928
472.000000	|	-16.889462
473.000000	|	-16.284238
474.000000	|	-15.022053
475.000000	|	-14.402800
476.000000	|	-13.833966
477.000000	|	-12.741184
478.000000	|	-11.068789
479.000000	|	-9.895433
480.000000	|	-8.660705
481.000000	|	-8.129799
482.000000	|	-8.745861
483.000000	|	-9.420164
484.000000	|	-10.865145
485.000000	|	-12.004677
486.000000	|	-13.246760
487.000000	|	-14.206153
488.000000	|	-15.322166
489.000000	|	-16.234561
490.000000	|	-16.748092
491.000000	|	-17.234903
492.000000	|	-17.619657
493.000000	|	-18.058588
494.000000	|	-18.459796
495.000000	|	-18.648735
496.000000	|	-19.061587
497.000000	|	-19.222643
498.000000	|	-19.180014
499.000000	|	-19.161661
500.000000	|	-19.024367
501.000000	|	-18.709114
502.000000	|	-18.717870
503.000000	|	-18.033498
504.000000	|	-17.815021
505.000000	|	-17.168205
506.000000	|	-16.695433
507.000000	|	-16.251128
508.000000	|	-15.346293
509.000000	|	-14.960343
510.000000	|	-15.704245
511.000000	|	-16.791056
512.000000	|	-17.410985
513.000000	|	-17.905048
514.000000	|	-18.585306
515.000000	|	-19.364431
516.000000	|	-19.509034
517.000000	|	-19.731917
518.000000	|	-19.809851
519.000000	|	-19.912198
520.000000	|	-19.800879
521.000000	|	-19.584099
522.000000	|	-19.865247
523.000000	|	-19.669752
524.000000	|	-19.867673
525.000000	|	-19.435032
526.000000	|	-19.420331
527.000000	|	-19.004554
