Frequency (Hz)	|	Gain (dB)
244.000000	|	-11.907470
245.000000	|	-13.379818
246.000000	|	-14.093264
247.000000	|	-14.635054
248.000000	|	-15.116970
249.000000	|	-15.694912
250.000000	|	-15.471847
251.000000	|	-14.903252
252.000000	|	-15.048180
253.000000	|	-13.765792
254.000000	|	-12.949854
255.000000	|	-13.101942
256.000000	|	-14.193846
257.000000	|	-14.873840
258.000000	|	-15.936819
259.000000	|	-16.028193
260.000000	|	-16.612181
261.000000	|	-16.400380
262.000000	|	-15.836685
263.000000	|	-15.458194
264.000000	|	-13.890032
265.000000	|	-12.849438
266.000000	|	-11.852082
267.000000	|	-10.368722
268.000000	|	-7.777627
269.000000	|	-5.099839
270.000000	|	-5.456609
271.000000	|	-6.477387
272.000000	|	-8.275070
273.000000	|	-10.212830
274.000000	|	-11.792723
275.000000	|	-13.572567
276.000000	|	-14.845365
277.000000	|	-15.490675
278.000000	|	-15.339594
279.000000	|	-14.774918
280.000000	|	-14.725142
281.000000	|	-14.974160
282.000000	|	-14.764482
283.000000	|	-13.889624
284.000000	|	-12.473258
285.000000	|	-10.242038
286.000000	|	-8.825204
287.000000	|	-10.500613
288.000000	|	-12.402462
289.000000	|	-14.476444
290.000000	|	-15.233131
291.000000	|	-15.763438
292.000000	|	-16.177926
293.000000	|	-16.313979
294.000000	|	-15.747320
295.000000	|	-15.966544
296.000000	|	-14.701446
297.000000	|	-14.576049
298.000000	|	-13.885633
299.000000	|	-12.439558
300.000000	|	-10.998418
301.000000	|	-9.654687
302.000000	|	-8.376475
303.000000	|	-7.599385
304.000000	|	-9.052516
305.000000	|	-10.750417
306.000000	|	-12.368307
307.000000	|	-13.750681
308.000000	|	-14.504767
309.000000	|	-14.759376
310.000000	|	-15.538506
311.000000	|	-15.968454
312.000000	|	-15.690195
313.000000	|	-15.283194
314.000000	|	-14.665454
315.000000	|	-14.343549
316.000000	|	-13.109230
317.000000	|	-12.350907
318.000000	|	-10.813937
319.000000	|	-8.933507
320.000000	|	-6.272340
321.000000	|	-5.264470
322.000000	|	-6.993764
323.000000	|	-8.449840
324.000000	|	-10.466943
325.000000	|	-11.785161
326.000000	|	-13.258250
327.000000	|	-14.334450
328.000000	|	-15.248861
329.000000	|	-16.017479
330.000000	|	-16.422793
331.000000	|	-17.195982
332.000000	|	-17.308400
333.000000	|	-17.171754
334.000000	|	-16.740158
335.000000	|	-16.656299
336.000000	|	-15.856474
337.000000	|	-15.249522
338.000000	|	-14.517912
339.000000	|	-14.567964
340.000000	|	-14.268639
341.000000	|	-14.590441
342.000000	|	-15.546959
343.000000	|	-16.795863
344.000000	|	-17.288618
345.000000	|	-17.263109
346.000000	|	-18.048760
347.000000	|	-18.050198
348.000000	|	-18.417650
349.000000	|	-18.087015
350.000000	|	-17.491322
351.000000	|	-16.707996
352.000000	|	-15.626365
353.000000	|	-15.109579
354.000000	|	-14.059314
355.000000	|	-13.400250
356.000000	|	-11.973546
357.000000	|	-10.626491
358.000000	|	-9.247364
359.000000	|	-7.510898
360.000000	|	-5.115859
361.000000	|	-5.867100
362.000000	|	-7.019554
363.000000	|	-7.974133
364.000000	|	-9.626323
365.000000	|	-11.364374
366.000000	|	-13.148096
367.000000	|	-14.560844
368.000000	|	-15.745298
369.000000	|	-16.562227
370.000000	|	-17.107598
371.000000	|	-16.706334
372.000000	|	-17.066917
373.000000	|	-17.290883
374.000000	|	-17.007872
375.000000	|	-16.793525
376.000000	|	-16.492571
377.000000	|	-15.924951
378.000000	|	-15.003090
379.000000	|	-13.842146
380.000000	|	-12.631785
381.000000	|	-11.246002
382.000000	|	-11.067863
383.000000	|	-12.172466
384.000000	|	-13.061180
385.000000	|	-14.438979
386.000000	|	-15.473086
387.000000	|	-16.207682
388.000000	|	-16.639322
389.000000	|	-17.127996
390.000000	|	-17.983714
391.000000	|	-17.895454
392.000000	|	-18.139673
393.000000	|	-17.942771
394.000000	|	-17.697335
395.000000	|	-16.217841
396.000000	|	-16.603097
397.000000	|	-16.177512
398.000000	|	-14.976647
399.000000	|	-13.995699
400.000000	|	-12.849147
401.000000	|	-11.979741
402.000000	|	-9.733555
403.000000	|	-7.928290
404.000000	|	-6.515088
405.000000	|	-6.809926
406.000000	|	-8.359969
407.000000	|	-10.282359
408.000000	|	-11.754670
409.000000	|	-13.358156
410.000000	|	-14.499862
411.000000	|	-15.308988
412.000000	|	-15.911572
413.000000	|	-16.769147
414.000000	|	-17.110148
415.000000	|	-17.478694
416.000000	|	-17.697503
417.000000	|	-17.718066
418.000000	|	-16.977173
419.000000	|	-16.573182
420.000000	|	-16.196200
421.000000	|	-15.545975
422.000000	|	-15.024443
423.000000	|	-14.457657
424.000000	|	-14.395060
425.000000	|	-14.481634
426.000000	|	-13.002941
427.000000	|	-11.333591
428.000000	|	-9.514436
429.000000	|	-8.940674
430.000000	|	-9.390166
431.000000	|	-10.134872
432.000000	|	-12.226750
433.000000	|	-13.655402
434.000000	|	-15.476209
435.000000	|	-16.790978
436.000000	|	-17.464966
437.000000	|	-17.831008
438.000000	|	-18.444229
439.000000	|	-18.348941
440.000000	|	-18.831937
441.000000	|	-18.697748
442.000000	|	-19.107369
443.000000	|	-18.631179
444.000000	|	-18.585260
445.000000	|	-18.268692
446.000000	|	-17.563507
447.000000	|	-17.261601
448.000000	|	-16.825898
449.000000	|	-16.314454
450.000000	|	-15.215674
451.000000	|	-14.103159
452.000000	|	-12.844245
453.000000	|	-11.967111
454.000000	|	-11.238798
455.000000	|	-12.110189
456.000000	|	-13.463175
457.000000	|	-14.460807
458.000000	|	-15.549305
459.000000	|	-16.376435
460.000000	|	-17.107288
461.000000	|	-17.276014
462.000000	|	-17.873985
463.000000	|	-18.128584
464.000000	|	-18.495820
465.000000	|	-18.694280
466.000000	|	-18.319463
467.000000	|	-18.319695
468.000000	|	-17.601086
469.000000	|	-17.269510
470.000000	|	-16.868138
471.000000	|	-16.428377
472.000000	|	-15.862490
473.000000	|	-15.353206
474.000000	|	-13.836104
475.000000	|	-12.741745
476.000000	|	-12.209276
477.000000	|	-11.043093
478.000000	|	-9.190151
479.000000	|	-7.554796
480.000000	|	-6.357543
481.000000	|	-5.511245
482.000000	|	-6.008118
483.000000	|	-6.598896
484.000000	|	-8.304153
485.000000	|	-9.598205
486.000000	|	-11.022529
487.000000	|	-12.089237
488.000000	|	-13.510272
489.000000	|	-14.638964
490.000000	|	-15.524681
491.000000	|	-15.824492
492.000000	|	-16.503746
493.000000	|	-17.167071
494.000000	|	-17.777099
495.000000	|	-17.981107
496.000000	|	-18.828543
497.000000	|	-18.889492
498.000000	|	-18.873161
499.000000	|	-18.753086
500.000000	|	-18.616937
501.000000	|	-18.765873
502.000000	|	-18.447106
503.000000	|	-17.494530
504.000000	|	-17.197686
505.000000	|	-16.567631
506.000000	|	-16.141208
507.000000	|	-15.673730
508.000000	|	-14.331893
509.000000	|	-14.285701
510.000000	|	-14.974179
511.000000	|	-16.057528
512.000000	|	-16.700265
513.000000	|	-17.289163
514.000000	|	-18.137247
515.000000	|	-19.283086
516.000000	|	-19.478345
517.000000	|	-19.833112
518.000000	|	-19.935604
519.000000	|	-20.167614
520.000000	|	-19.762157
521.000000	|	-19.615003
522.000000	|	-19.940844
523.000000	|	-19.675172
524.000000	|	-19.885475
525.000000	|	-19.492967
526.000000	|	-19.183402
527.000000	|	-18.858932
528.000000	|	-18.310966
529.000000	|	-17.745128
530.000000	|	-17.263350
531.000000	|	-16.885438
532.000000	|	-16.053431
533.000000	|	-15.283317
534.000000	|	-14.002946
535.000000	|	-12.841286
536.000000	|	-11.754037
537.000000	|	-10.339645
538.000000	|	-8.541798
539.000000	|	-7.370371
540.000000	|	-6.969346
541.000000	|	-7.559841
542.000000	|	-8.420322
543.000000	|	-9.421915
544.000000	|	-10.358488
545.000000	|	-11.542816
546.000000	|	-12.973304
547.000000	|	-14.015444
548.000000	|	-14.990391
549.000000	|	-15.790727
550.000000	|	-16.810892
551.000000	|	-17.493471
552.000000	|	-18.228086
553.000000	|	-18.770279
554.000000	|	-18.968482
555.000000	|	-19.657961
556.000000	|	-19.654910
557.000000	|	-19.693074
558.000000	|	-18.997847
559.000000	|	-19.133206
560.000000	|	-19.041584
561.000000	|	-18.427998
562.000000	|	-18.102560
563.000000	|	-18.147174
564.000000	|	-17.980089
565.000000	|	-17.134027
566.000000	|	-16.821726
567.000000	|	-16.941177
568.000000	|	-15.957410
569.000000	|	-15.158893
570.000000	|	-13.899925
571.000000	|	-13.551734
572.000000	|	-12.833898
573.000000	|	-12.782938
574.000000	|	-12.891561
575.000000	|	-13.552520
576.000000	|	-14.353700
577.000000	|	-15.482570
578.000000	|	-16.728995
579.000000	|	-17.584530
580.000000	|	-18.726299
581.000000	|	-19.371251
582.000000	|	-19.359783
583.000000	|	-19.216121
584.000000	|	-19.988815
585.000000	|	-20.542758
586.000000	|	-20.217450
587.000000	|	-19.697641
588.000000	|	-19.607299
589.000000	|	-20.104409
590.000000	|	-20.067581
591.000000	|	-19.812259
592.000000	|	-19.427795
593.000000	|	-19.260827
594.000000	|	-19.351165
595.000000	|	-18.398614
596.000000	|	-18.039842
597.000000	|	-17.488845
598.000000	|	-17.227841
599.000000	|	-15.917426
600.000000	|	-15.261946
601.000000	|	-14.231360
602.000000	|	-12.850608
603.000000	|	-12.234680
604.000000	|	-11.609563
605.000000	|	-11.148690
606.000000	|	-10.381924
607.000000	|	-10.693751
608.000000	|	-11.535139
609.000000	|	-11.751273
610.000000	|	-12.760065
611.000000	|	-13.866190
612.000000	|	-14.800661
613.000000	|	-16.182271
614.000000	|	-17.149134
615.000000	|	-17.845241
616.000000	|	-18.044004
617.000000	|	-18.028956
618.000000	|	-18.954673
619.000000	|	-19.157793
620.000000	|	-19.584401
621.000000	|	-19.494914
622.000000	|	-19.649587
623.000000	|	-20.175000
624.000000	|	-19.782653
625.000000	|	-19.416956
626.000000	|	-19.145334
627.000000	|	-18.974972
628.000000	|	-18.576827
629.000000	|	-18.349600
630.000000	|	-17.901853
631.000000	|	-17.338098
632.000000	|	-17.391839
633.000000	|	-17.350948
634.000000	|	-16.199834
635.000000	|	-15.556134
636.000000	|	-14.390339
637.000000	|	-14.055539
638.000000	|	-13.496200
639.000000	|	-12.048340
640.000000	|	-11.320781
641.000000	|	-10.513247
642.000000	|	-9.264466
643.000000	|	-9.282547
644.000000	|	-9.771758
645.000000	|	-11.026851
646.000000	|	-11.839010
647.000000	|	-12.968471
648.000000	|	-13.779112
649.000000	|	-14.782627
650.000000	|	-15.608985
651.000000	|	-16.550961
652.000000	|	-17.102604
653.000000	|	-17.469582
654.000000	|	-18.542963
655.000000	|	-18.723259
656.000000	|	-19.280736
657.000000	|	-19.296936
658.000000	|	-19.397326
659.000000	|	-19.552642
660.000000	|	-19.999845
661.000000	|	-19.572455
662.000000	|	-19.720864
663.000000	|	-20.222240
664.000000	|	-19.981488
665.000000	|	-20.299955
666.000000	|	-20.700403
667.000000	|	-20.221687
668.000000	|	-20.255523
669.000000	|	-19.796884
670.000000	|	-19.835666
671.000000	|	-19.399922
672.000000	|	-18.984098
673.000000	|	-18.588015
674.000000	|	-17.791846
675.000000	|	-17.904642
676.000000	|	-18.074331
677.000000	|	-17.704727
678.000000	|	-17.962862
679.000000	|	-18.279972
680.000000	|	-17.343421
681.000000	|	-17.569522
682.000000	|	-17.887836
683.000000	|	-18.219666
684.000000	|	-18.975129
685.000000	|	-18.934258
686.000000	|	-20.015678
687.000000	|	-20.235697
688.000000	|	-20.906978
689.000000	|	-21.183904
690.000000	|	-21.261905
691.000000	|	-21.886121
692.000000	|	-21.782533
693.000000	|	-22.017825
694.000000	|	-21.806813
695.000000	|	-21.828892
696.000000	|	-22.128094
697.000000	|	-21.964528
698.000000	|	-21.657673
699.000000	|	-21.204531
700.000000	|	-21.409570
701.000000	|	-20.940292
702.000000	|	-20.881492
703.000000	|	-20.688372
704.000000	|	-20.312404
705.000000	|	-19.687358
706.000000	|	-18.879879
707.000000	|	-18.651383
708.000000	|	-18.849698
709.000000	|	-18.208652
710.000000	|	-17.336318
711.000000	|	-16.320655
712.000000	|	-16.158641
713.000000	|	-15.496288
714.000000	|	-14.991473
715.000000	|	-14.238866
716.000000	|	-14.092583
717.000000	|	-12.861773
718.000000	|	-11.995504
719.000000	|	-10.740423
720.000000	|	-9.788565
721.000000	|	-9.968114
722.000000	|	-10.303426
723.000000	|	-11.097511
724.000000	|	-11.133991
725.000000	|	-11.768809
726.000000	|	-12.462451
727.000000	|	-13.086263
728.000000	|	-13.962534
729.000000	|	-15.238196
730.000000	|	-16.193208
731.000000	|	-16.820347
732.000000	|	-17.605357
733.000000	|	-18.447541
734.000000	|	-19.074942
735.000000	|	-19.460829
736.000000	|	-20.318706
737.000000	|	-20.334313
738.000000	|	-20.613057
739.000000	|	-20.604867
740.000000	|	-20.463148
741.000000	|	-20.977323
742.000000	|	-20.893722
743.000000	|	-21.124694
744.000000	|	-20.684083
745.000000	|	-21.141147
746.000000	|	-21.652436
747.000000	|	-21.396963
748.000000	|	-20.840530
749.000000	|	-21.132709
750.000000	|	-21.142389
751.000000	|	-20.967960
752.000000	|	-20.134905
753.000000	|	-20.054278
754.000000	|	-20.021495
755.000000	|	-19.813503
756.000000	|	-19.412984
757.000000	|	-18.754471
758.000000	|	-18.084812
759.000000	|	-18.008977
760.000000	|	-18.401149
761.000000	|	-17.667373
762.000000	|	-15.905243
763.000000	|	-14.997875
764.000000	|	-16.077517
765.000000	|	-16.847138
766.000000	|	-17.216411
767.000000	|	-17.452351
768.000000	|	-18.313688
769.000000	|	-18.764248
770.000000	|	-19.736208
771.000000	|	-19.853173
772.000000	|	-20.624210
773.000000	|	-20.756902
